AIRPORT,LATITUDE,LONGITUDE
UXM,61.04444444,-158.1452778
ADK,51.88361111,-176.6425
01A,58.10944444,-152.9066667
VZF,58,-152.8166667
A81,70.66277778,-154.8366667
AKK,56.93861111,-154.1825
KKI,60.91388889,-161.4933333
AKI,60.90277778,-161.2305556
OQK,68.98333333,-163.4455556
A97,68.98555556,-163.4797222
7AK,54.14472222,-165.6041667
KQA,54.13333333,-165.7833333
AUK,62.68305556,-164.7222222
WKK,59.2825,-158.6177778
AED,58.03333333,-152.9
AET,66.55194444,-152.6222222
A20,70.34416667,-150.9447222
DQH,70.34416667,-150.9447222
ABL,67.0875,-157.8458333
AHT,51.37861111,179.2586111
OQZ,62.04333333,-158.2563889
AOS,57.45472222,-153.8130556
AKP,68.13361111,-151.7433333
ANC,61.17416667,-149.9980556
DQL,61.18666667,-149.9652778
EDF,61.25138889,-149.8063889
MRI,61.21361111,-149.8447222
AGN,57.50388889,-134.5833333
ANI,61.58138889,-159.5452778
AIB,56.19,-132.4458333
ANN,55.04222222,-131.5708333
FQE,58.31333333,-134.1041667
ANV,62.64722222,-160.19
ARC,68.11472222,-145.5794444
A16,70.74694444,-155.3608333
AKB,52.22055556,-174.2061111
ATT,60.86777778,-162.2741667
ATK,70.46722222,-157.4355556
ATU,52.8325,173.1755556
A28,57.25388889,-154.4222222
FQX,55.21027778,-132.1319444
BAR,55.36666667,-133.6
BNF,57.08916667,-134.8313889
A94,70.57416667,-155.3180556
A95,70.31194444,-153.2491667
A96,70.98083333,-157.095
BRW,71.28472222,-156.7686111
BTI,70.11305556,-143.6536111
BQV,58.45527778,-135.8852778
A2K,58.23305556,-157.3663889
BCC,57.6175,-155.8672222
AK2,60.71027778,-151.7211111
A56,56.03666667,-160.2661111
BVD,53.8325,-166.3025
WBQ,66.36222222,-147.4063889
A11,60.78388889,-159.5402778
KBE,55.92944444,-131.57
BVU,61.17277778,-151.0427778
AA1,59.95277778,-162.6169444
BET,60.77861111,-161.8372222
BTT,66.91388889,-151.5291667
OQB,57.92638889,-156.0833333
A50,58.5625,-152.5961111
BIC,57.66666667,-157.5833333
BIG,63.99472222,-145.7202778
BGQ,61.53472222,-149.8125
BMX,59.36222222,-155.2597222
PWR,56.38333333,-134.65
A85,61.85944444,-154.2766667
KBC,66.27444444,-145.8180556
A53,64.33333333,-147.5
BFB,58.18333333,-152.1333333
WQL,64.59055556,-163.7752778
RLU,67.10166667,-156.9291667
BSW,60.42305556,-146.1458333
BYA,64.07833333,-141.1133333
A93,59.79166667,-151.2666667
A23,59.77611111,-151.9636111
KTS,65.33194444,-166.4677778
BKF,58.6,-156.2333333
RBH,58.55,-155.8
BKC,65.98166667,-161.1491667
UXI,56.17166667,-133.4930556
VZD,57.85555556,-153.6333333
CDL,65.90777778,-161.9263889
A54,53.68333333,-166.75
VZW,57.71666667,-157.7166667
LUR,68.875,-166.1111111
EHM,58.64805556,-162.0630556
VZV,58.55277778,-161.7686111
CZP,55.965,-133.7933333
CZF,61.78111111,-166.0394444
CSU,69.02694444,-163.8541667
A61,54.5825,-164.9144444
A40,71.05694444,-154.7283333
A78,71.03,-154.4436111
A79,71.50166667,-154.0338889
A80,70.57388889,-155.3213889
CSP,58.19916667,-136.64
CYT,60.08083333,-142.4955556
A87,58.58305556,-152.4458333
CEM,65.57388889,-144.7808333
CIK,66.645,-143.74
WCR,67.50444444,-148.4833333
UXL,68.09722222,-165.7638889
CYM,57.51527778,-134.9444444
OQO,62.43416667,-151.4147222
CEX,65.05194444,-146.0475
EGA,60.28333333,-148.0833333
NCN,60.07861111,-147.9947222
KCN,53.4,-167.55
VAK,61.54083333,-165.6008333
CKX,64.06666667,-141.9513889
CYF,60.13694444,-164.2791667
KBW,56.28805556,-158.3833333
KCG,56.31138889,-158.3733333
KCL,56.31083333,-158.5344444
KCQ,56.25555556,-158.7777778
WQZ,56.25555556,-158.7777778
A24,59.33166667,-135.8966667
A72,59.83333333,-152.5847222
CZN,62.07166667,-142.0494444
CZO,62.56222222,-144.6725
CXC,61.58333333,-144.4297222
CIV,55.24777778,-132.3236111
ZXH,55.23916667,-132.1141667
CHU,61.57916667,-159.2155556
VZT,57.05833333,-157.8
