STN,NAME,ST,LAT,LON
PADK,  ADAKIS.          ,   AK,  51.88N  ,176.65W
PAKH,  AKHIOK            ,  AK,  56.94N  ,154.18W
PAUT,  AKUTAN            ,  AK,  54.15N  ,165.60W
PAFM,  AMBLER            ,  AK,  67.10N  ,157.85W
PAKP,  ANAKTUVUK(RAMOS)  ,  AK,  68.17N  ,151.77W
PANC,  ANCHORAGE        ,   AK,  61.17N  ,150.03W
PAGN,  ANGOON            ,  AK,  57.50N  ,134.58W
PANI,  ANIAK(AMOS)      ,   AK,  61.58N  ,159.53W
PANV,  ANNIK_AIRPORT    ,   AK,  62.65N  ,160.18W
PARC,  ARCTIC_VILLAGE    ,  AK,  68.12N  ,145.57W
PAAK,  ATKA              ,  AK,  52.22N  ,174.21W
PATQ,  ATQASUK          ,   AK,  70.47N  ,157.44W
PABR,  BARROW            ,  AK,  71.28N  ,156.78W
PABA,  BARTERIS.        ,   AK,  70.13N  ,143.63W
PABE,  BETHEL            ,  AK,  60.78N  ,161.80W
PABT,  BETTLES          ,   AK,  66.92N  ,151.52W
PABI,  BIGDELTA/DELTAJUNC,  AK,  64.00N  ,145.73W
PABV,  BIRCHWOOD        ,   AK,  61.42N  ,149.52W
PFKT,  BREVIG_MISSION    ,  AK,  65.33N  ,166.46W
PABL,  BUCKLAND          ,  AK,  65.99N  ,161.12W
PALU,  CAPELISBURNEAFS  ,   AK,  68.88N  ,166.13W
PAEH,  CAPENEWENHAMAWOS  ,  AK,  58.65N  ,162.07W
PACZ,  CAPEROMANZOFAWOS  ,  AK,  61.78N  ,166.03W
PAVA,  CHEVAKARPT        ,  AK,  61.54N  ,165.60W
PAJC,  CHIGNIK          ,   AK,  56.32N  ,158.36W
PFCL,  CLARKS_POINT      ,  AK,  58.83N  ,158.53W
PACD,  COLDBAY          ,   AK,  55.22N  ,162.73W
PACV,  CORDOVA          ,   AK,  60.50N  ,145.50W
PASC,  DEADHORSE        ,   AK,  70.20N  ,148.47W
PALP,  DEADHORSE/ALPINEAI,R  AK,  70.34N  ,150.94W
PADE,  DEERING          ,   AK,  66.07N  ,162.77W
PADL,  DILLINGHAM(AMOS)  ,  AK,  59.05N  ,158.52W
PADU,  DUTCHHARBOR/UNAK.,   AK,  53.90N  ,166.53W
PAEG,  EAGLE            ,   AK,  64.78N  ,141.16W
PAII,  EGEGIK(AWOS)      ,  AK,  58.42N  ,157.37W
PAEI,  EIELSONAFB        ,  AK,  64.65N  ,147.07W
PFEL,  ELIM_APRT        ,   AK,  64.62N  ,162.27W
PAED,  ELMENDORFAFB      ,  AK,  61.25N  ,149.80W
PAZK,  EUREKA            ,  AK,  61.93N  ,147.17W
PAFA,  FAIRBANKS        ,   AK,  64.82N  ,147.87W
